"stdliv_next5","stdliv_next5_di","stdliv_past5","stdliv_past5_di","cat_age","wave","female","education","EGP6","income","pensions","unemployed","car_owner","cntry","y1"
4,2,1,1,2,1993,0,3,"1",2,0,0,0,"belarus",339
2,1,2,1,2,1993,0,2,"6",1,0,0,0,"belarus",185
3,3,1,1,2,1993,0,2,"3",1,0,0,0,"belarus",650
3,3,2,1,3,1993,0,2,"4",3,0,0,1,"belarus",1258
4,2,2,1,2,1993,0,3,"1",3,0,0,0,"belarus",564
1,1,2,1,2,1993,0,3,"1",1,0,0,1,"belarus",1199
5,2,1,1,2,1993,0,3,"1",2,0,0,0,"belarus",1009
4,2,4,2,2,1993,1,3,"1",3,0,0,0,"belarus",10
1,1,1,1,4,1993,0,3,"4",3,0,0,0,"belarus",597
1,1,1,1,3,1993,1,1,"4",1,1,0,0,"belarus",624
3,3,2,1,2,1993,0,2,"4",3,0,0,0,"belarus",536
5,2,3,3,1,1993,0,2,"2",3,0,0,0,"belarus",538
4,2,4,2,4,1993,0,1,"5",3,1,0,1,"belarus",934
1,1,1,1,2,1993,0,3,"5",3,0,0,0,"belarus",406
3,3,2,1,2,1993,1,2,"4",2,0,0,0,"belarus",539
1,1,1,1,2,1993,0,2,"5",1,0,0,0,"belarus",1067
4,2,1,1,3,1993,1,3,"1",2,1,0,1,"belarus",1116
5,2,2,1,3,1993,1,3,"2",2,0,0,1,"belarus",850
3,3,2,1,1,1993,0,3,"1",1,0,0,0,"belarus",1428
2,1,1,1,1,1993,0,3,"1",3,0,0,1,"belarus",559
3,3,2,1,3,1993,0,1,"4",2,0,0,0,"belarus",1108
3,3,3,3,1,1993,1,3,"1",2,0,0,0,"belarus",1016
3,3,1,1,4,1993,1,1,"4",1,1,0,0,"belarus",1135
1,1,1,1,3,1993,0,2,"1",1,0,1,0,"belarus",528
3,3,1,1,2,1993,1,3,"2",1,0,0,0,"belarus",1429
3,3,3,3,2,1993,1,3,"4",2,0,0,0,"belarus",166
4,2,2,1,1,1993,0,2,"6",3,0,0,0,"belarus",581
1,1,1,1,2,1993,1,3,"1",1,0,0,0,"belarus",717
3,3,1,1,4,1993,1,1,"6",1,0,0,0,"belarus",366
1,1,1,1,4,1993,0,1,"5",1,1,0,0,"belarus",133
3,3,1,1,3,1993,0,3,"4",1,0,0,0,"belarus",242
2,1,2,1,2,1993,0,3,"4",2,0,0,1,"belarus",41
3,3,3,3,2,1993,1,3,"1",2,0,0,0,"belarus",1417
4,2,3,3,1,1993,1,3,"4",1,0,0,0,"belarus",477
1,1,2,1,1,1993,1,1,"7",1,0,0,0,"belarus",864
2,1,2,1,2,1993,0,3,"4",2,0,0,0,"belarus",611
3,3,2,1,1,1993,1,3,"3",1,0,0,0,"belarus",819
3,3,2,1,2,1993,1,3,"1",3,0,0,0,"belarus",1402
2,1,3,3,2,1993,1,3,"6",3,0,0,1,"belarus",472
1,1,1,1,1,1993,0,2,"6",1,0,1,0,"belarus",330
2,1,3,3,1,1993,0,2,"4",2,0,0,1,"belarus",316
4,2,2,1,2,1993,0,2,"6",3,0,0,0,"belarus",453
3,3,2,1,1,1993,1,3,"4",1,0,0,0,"belarus",1315
3,3,1,1,2,1993,1,3,"1",2,0,0,1,"belarus",179
3,3,4,2,2,1993,0,3,"1",3,0,0,0,"belarus",218
4,2,2,1,2,1993,1,2,"5",3,0,0,1,"belarus",16
4,2,1,1,2,1993,0,3,"1",2,0,0,0,"belarus",576
2,1,3,3,4,1993,0,3,"1",3,0,0,1,"belarus",1234
2,1,2,1,4,1993,0,3,"1",1,1,0,1,"belarus",1051
3,3,2,1,2,1993,1,3,"1",1,0,0,0,"belarus",173
1,1,2,1,3,1993,0,1,"5",3,0,0,1,"belarus",243
2,1,2,1,2,1993,0,3,"4",3,0,0,1,"belarus",519
4,2,1,1,3,1993,0,3,"1",2,0,0,0,"belarus",156
3,3,4,2,3,1993,0,3,"1",2,0,0,1,"belarus",93
3,3,2,1,2,1993,1,2,"2",1,0,0,0,"belarus",1248
3,3,1,1,2,1993,1,2,"5",1,0,0,0,"belarus",661
1,1,1,1,4,1993,0,1,"5",1,0,0,0,"belarus",644
4,2,2,1,2,1993,0,3,"1",3,0,0,0,"belarus",950
3,3,1,1,2,1993,1,2,"4",1,0,0,0,"belarus",370
4,2,4,2,2,1993,1,3,"4",3,0,0,0,"belarus",89
4,2,2,1,4,1993,1,3,"1",2,1,0,1,"belarus",38
4,2,2,1,1,1993,0,2,"3",3,0,0,0,"belarus",430
2,1,1,1,2,1993,0,2,"4",2,0,0,0,"belarus",45
1,1,1,1,2,1993,1,3,"1",2,0,0,0,"belarus",193
3,3,1,1,4,1993,1,1,"5",1,0,0,0,"belarus",518
1,1,1,1,1,1993,0,2,"5",1,0,0,1,"belarus",1029
2,1,1,1,1,1993,1,3,"1",1,0,0,0,"belarus",372
2,1,2,1,1,1993,1,3,"2",1,0,0,0,"belarus",648
3,3,1,1,2,1993,1,3,"1",2,0,0,1,"belarus",754
1,1,2,1,3,1993,0,2,"6",3,0,0,1,"belarus",888
2,1,1,1,2,1993,1,3,"1",3,0,0,0,"belarus",121
2,1,2,1,1,1993,0,3,"4",1,0,0,1,"belarus",337
3,3,3,3,2,1993,0,3,"1",3,0,0,0,"belarus",828
2,1,1,1,1,1993,0,3,"1",3,0,0,0,"belarus",999
3,3,2,1,1,1993,1,3,"1",2,0,1,0,"belarus",1011
3,3,1,1,2,1993,0,2,"4",2,0,0,0,"belarus",58
2,1,1,1,2,1993,0,2,"5",2,0,0,0,"belarus",182
1,1,3,3,2,1993,0,2,"4",2,0,0,0,"belarus",1187
3,3,2,1,4,1993,1,2,"2",2,1,0,0,"belarus",436
4,2,1,1,2,1993,1,3,"1",2,0,0,0,"belarus",116
3,3,4,2,2,1993,1,3,"1",2,0,0,0,"belarus",899
1,1,1,1,2,1993,1,2,"5",2,0,0,1,"belarus",403
4,2,1,1,2,1993,1,2,"5",2,0,0,1,"belarus",415
3,3,1,1,2,1993,0,3,"4",3,0,0,1,"belarus",373
1,1,1,1,2,1993,0,3,"1",3,0,0,0,"belarus",668
3,3,4,2,1,1993,0,2,"1",1,0,1,1,"belarus",374
3,3,2,1,2,1993,1,2,"6",2,0,0,0,"belarus",847
3,3,3,3,2,1993,0,2,"5",3,0,0,0,"belarus",1095
4,2,2,1,3,1993,1,1,"5",2,0,0,0,"belarus",1126
3,3,2,1,1,1993,1,1,"6",1,0,0,0,"belarus",504
3,3,1,1,1,1993,1,3,"1",2,0,0,0,"belarus",632
3,3,4,2,2,1993,1,3,"1",2,0,0,0,"belarus",70
3,3,4,2,2,1993,0,3,"4",3,0,0,1,"belarus",991
3,3,2,1,2,1993,1,3,"2",3,0,1,0,"belarus",1008
1,1,1,1,3,1993,0,1,"4",3,0,0,0,"belarus",531
